1:705
2:546
3:1171
4:3287
5:1319
6:673
7:3508
8:112
9:325
10:98
11:90
12:91
13:596
14:1419
15:33
16:237
17:548
18:1570
19:3
20:1453
21:54
total emotions:17838
total words:95603
total comments:51282
